riskScore	risk	geneName	geneExp
10	high	APC_co_stimulation	0.380544731
10	high	APC_co_stimulation	0.297051989
10	high	APC_co_stimulation	0.42020399
10	high	APC_co_stimulation	0.447424454
10	high	APC_co_stimulation	0.24525209
10	high	APC_co_stimulation	0.296369006
10	high	APC_co_stimulation	0.312857854
10	high	APC_co_stimulation	0.229962435
10	high	APC_co_stimulation	0.396064675
10	high	APC_co_stimulation	0.372905387
10	high	APC_co_stimulation	0.337496462
10	high	APC_co_stimulation	0.413143791
9.809253633	high	APC_co_stimulation	0.496383713
9.216699522	high	APC_co_stimulation	0.317006412
9.076920852	high	APC_co_stimulation	0.637782836
8.957444245	high	APC_co_stimulation	0.296156783
8.884594837	high	APC_co_stimulation	0.341725031
8.35219246	high	APC_co_stimulation	0.435966772
8.28401637	high	APC_co_stimulation	0.444464572
8.278030139	high	APC_co_stimulation	0.570333458
8.182222826	high	APC_co_stimulation	0.248869844
8.157864976	high	APC_co_stimulation	0.592742274
8.003435863	high	APC_co_stimulation	0.451483513
7.980370402	high	APC_co_stimulation	0.564707865
7.977943081	high	APC_co_stimulation	0.506743135
7.964844896	high	APC_co_stimulation	0.296426793
7.691249502	high	APC_co_stimulation	0.50988282
7.625368313	high	APC_co_stimulation	0.441526009
7.446600933	high	APC_co_stimulation	0.428634284
7.408031595	high	APC_co_stimulation	0.30464712
7.002763352	high	APC_co_stimulation	0.331348721
6.829215158	high	APC_co_stimulation	0.607045139
6.7891217	high	APC_co_stimulation	0.267214163
6.687518229	high	APC_co_stimulation	0.398249829
6.312882795	high	APC_co_stimulation	0.281938252
6.263860045	high	APC_co_stimulation	0.435472723
6.193315321	high	APC_co_stimulation	0.255403779
6.177455577	high	APC_co_stimulation	0.289895191
5.977350557	high	APC_co_stimulation	0.398025517
5.949545383	high	APC_co_stimulation	0.270357917
5.886426178	high	APC_co_stimulation	0.502543793
5.789574775	high	APC_co_stimulation	0.302600484
5.72845894	high	APC_co_stimulation	0.222043729
5.654994362	high	APC_co_stimulation	0.461329109
5.607667253	high	APC_co_stimulation	0.609091239
5.570252206	high	APC_co_stimulation	0.529783387
5.362723626	high	APC_co_stimulation	0.555418253
5.34960427	high	APC_co_stimulation	0.443411506
5.203973206	high	APC_co_stimulation	0.666365797
5.115370971	high	APC_co_stimulation	0.505514264
5.102261081	high	APC_co_stimulation	0.331344252
5.09262041	high	APC_co_stimulation	0.564917267
5.084553299	high	APC_co_stimulation	0.469141319
5.077139341	high	APC_co_stimulation	0.260890232
5.073571264	high	APC_co_stimulation	0.452329796
5.043063928	high	APC_co_stimulation	0.57745603
5.019343458	high	APC_co_stimulation	0.247449274
4.952642664	high	APC_co_stimulation	0.435155547
4.845903133	high	APC_co_stimulation	0.39303691
4.845142414	high	APC_co_stimulation	0.302269075
4.786517025	high	APC_co_stimulation	0.279405082
4.52827329	high	APC_co_stimulation	0.478061463
4.337306931	high	APC_co_stimulation	0.333642873
4.317010993	high	APC_co_stimulation	0.465065005
4.158911679	high	APC_co_stimulation	0.315684389
4.153160745	high	APC_co_stimulation	0.514118585
4.111034581	high	APC_co_stimulation	0.382952205
4.034444818	high	APC_co_stimulation	0.403854613
4.012376853	high	APC_co_stimulation	0.397260145
3.982801863	high	APC_co_stimulation	0.355990665
3.908537893	high	APC_co_stimulation	0.360965973
3.899850379	high	APC_co_stimulation	0.268859051
3.89323686	high	APC_co_stimulation	0.54809071
3.856332584	high	APC_co_stimulation	0.308112957
3.823268747	high	APC_co_stimulation	0.297891878
3.664034445	high	APC_co_stimulation	0.259892017
3.633267097	high	APC_co_stimulation	0.480997237
3.600037987	high	APC_co_stimulation	0.444826686
3.592591787	high	APC_co_stimulation	0.424438695
3.528585251	high	APC_co_stimulation	0.591955315
3.520948692	high	APC_co_stimulation	0.402592158
3.50134379	high	APC_co_stimulation	0.668304046
3.384209227	high	APC_co_stimulation	0.317190079
3.382739808	high	APC_co_stimulation	0.635717259
3.367946519	high	APC_co_stimulation	0.586806069
3.367557042	high	APC_co_stimulation	0.409196452
3.348298323	high	APC_co_stimulation	0.396492492
3.342509164	high	APC_co_stimulation	0.392495817
3.304832428	high	APC_co_stimulation	0.372549725
3.250736372	high	APC_co_stimulation	0.39237925
3.189180737	high	APC_co_stimulation	0.327716231
3.155040653	high	APC_co_stimulation	0.549141678
3.14062223	high	APC_co_stimulation	0.370450727
3.109636338	high	APC_co_stimulation	0.324842927
3.094303557	high	APC_co_stimulation	0.350564252
2.973000755	high	APC_co_stimulation	0.442133745
2.940478919	high	APC_co_stimulation	0.581109304
2.901022419	high	APC_co_stimulation	0.455454873
2.886730611	high	APC_co_stimulation	0.675452565
2.856367841	high	APC_co_stimulation	0.496537286
2.828602989	high	APC_co_stimulation	0.369993535
2.81962967	high	APC_co_stimulation	0.534734121
2.630074416	high	APC_co_stimulation	0.566204076
2.555637264	high	APC_co_stimulation	0.34061345
2.54250198	high	APC_co_stimulation	0.548524363
2.526851276	high	APC_co_stimulation	0.596876846
2.493842426	high	APC_co_stimulation	0.560336301
2.491096127	high	APC_co_stimulation	0.520988789
2.473657828	high	APC_co_stimulation	0.377767141
2.449014896	high	APC_co_stimulation	0.298136493
2.42875944	high	APC_co_stimulation	0.409785645
2.369962143	high	APC_co_stimulation	0.345047728
2.316300194	high	APC_co_stimulation	0.597708148
2.274000663	high	APC_co_stimulation	0.493662501
2.221324834	high	APC_co_stimulation	0.467450422
2.167466924	high	APC_co_stimulation	0.388486172
1.976169715	high	APC_co_stimulation	0.619691817
1.963577966	high	APC_co_stimulation	0.592182357
1.92604717	high	APC_co_stimulation	0.607308375
1.903700701	high	APC_co_stimulation	0.541781343
1.850915781	high	APC_co_stimulation	0.533364562
1.844674905	high	APC_co_stimulation	0.309979747
1.835033886	high	APC_co_stimulation	0.465556759
1.809476552	high	APC_co_stimulation	0.586884813
1.794374237	high	APC_co_stimulation	0.385861018
1.744809868	high	APC_co_stimulation	0.618754895
1.682994252	high	APC_co_stimulation	0.323845228
1.674779497	high	APC_co_stimulation	0.567906856
1.608544938	high	APC_co_stimulation	0.521637286
1.602142764	high	APC_co_stimulation	0.333172619
1.592722638	high	APC_co_stimulation	0.368819137
1.590622141	high	APC_co_stimulation	0.620062171
1.556814698	high	APC_co_stimulation	0.558072719
1.540774215	high	APC_co_stimulation	0.309609663
1.507359122	high	APC_co_stimulation	0.57533096
1.494903273	high	APC_co_stimulation	0.61093344
1.4486366	high	APC_co_stimulation	0.522121717
1.437193974	high	APC_co_stimulation	0.485746598
1.41706332	high	APC_co_stimulation	0.594948689
1.294039275	high	APC_co_stimulation	0.452003079
1.288454302	high	APC_co_stimulation	0.294252469
1.284575658	high	APC_co_stimulation	0.494800162
1.281159213	high	APC_co_stimulation	0.710248234
1.249971369	high	APC_co_stimulation	0.596978786
1.243306489	high	APC_co_stimulation	0.534423085
1.239144867	high	APC_co_stimulation	0.639908684
1.200814691	high	APC_co_stimulation	0.632499824
1.181397235	high	APC_co_stimulation	0.576419448
1.16654787	high	APC_co_stimulation	0.396759674
1.140561368	high	APC_co_stimulation	0.518193378
1.112189909	high	APC_co_stimulation	0.55094855
1.103275094	high	APC_co_stimulation	0.549375847
1.098767689	high	APC_co_stimulation	0.610851273
1.078354778	low	APC_co_stimulation	0.36496325
1.066982556	low	APC_co_stimulation	0.530315989
1.059613692	low	APC_co_stimulation	0.424640246
1.053632185	low	APC_co_stimulation	0.420789646
1.043255934	low	APC_co_stimulation	0.451358222
1.034863155	low	APC_co_stimulation	0.563449627
1.026693036	low	APC_co_stimulation	0.32484659
1.006838987	low	APC_co_stimulation	0.575717406
0.988053785	low	APC_co_stimulation	0.552150503
0.983222388	low	APC_co_stimulation	0.371024522
0.982784298	low	APC_co_stimulation	0.46884122
0.948500139	low	APC_co_stimulation	0.521688329
0.941904411	low	APC_co_stimulation	0.543154697
0.940828583	low	APC_co_stimulation	0.636506982
0.933090645	low	APC_co_stimulation	0.530999673
0.932594184	low	APC_co_stimulation	0.57364843
0.931587707	low	APC_co_stimulation	0.621714257
0.892169837	low	APC_co_stimulation	0.410591461
0.878746892	low	APC_co_stimulation	0.50719862
0.87738518	low	APC_co_stimulation	0.647221638
0.868321651	low	APC_co_stimulation	0.504341835
0.867541857	low	APC_co_stimulation	0.608864151
0.862723561	low	APC_co_stimulation	0.727481871
0.862472353	low	APC_co_stimulation	0.740797549
0.856769094	low	APC_co_stimulation	0.527021963
0.843006542	low	APC_co_stimulation	0.573006546
0.830131221	low	APC_co_stimulation	0.308289393
0.802691008	low	APC_co_stimulation	0.332981954
0.801851956	low	APC_co_stimulation	0.557449256
0.796517748	low	APC_co_stimulation	0.585965303
0.793839197	low	APC_co_stimulation	0.361272728
0.791695514	low	APC_co_stimulation	0.307435445
0.791678302	low	APC_co_stimulation	0.503330996
0.784910117	low	APC_co_stimulation	0.660918907
0.772759957	low	APC_co_stimulation	0.70711795
0.762195841	low	APC_co_stimulation	0.495610275
0.747788943	low	APC_co_stimulation	0.455092625
0.74621733	low	APC_co_stimulation	0.443096457
0.745193434	low	APC_co_stimulation	0.652476897
0.720759302	low	APC_co_stimulation	0.470506593
0.707237835	low	APC_co_stimulation	0.628516869
0.699520039	low	APC_co_stimulation	0.555268695
0.699400588	low	APC_co_stimulation	0.50898472
0.694539914	low	APC_co_stimulation	0.650102713
0.691740838	low	APC_co_stimulation	0.558450926
0.686819564	low	APC_co_stimulation	0.568957931
0.685100846	low	APC_co_stimulation	0.497224974
0.684623787	low	APC_co_stimulation	0.31333585
0.671628527	low	APC_co_stimulation	0.468047121
0.66487632	low	APC_co_stimulation	0.624678925
0.661135798	low	APC_co_stimulation	0.522398268
0.658270114	low	APC_co_stimulation	0.388343139
0.648597801	low	APC_co_stimulation	0.371305371
0.647975174	low	APC_co_stimulation	0.583424064
0.636314286	low	APC_co_stimulation	0.602408495
0.631379567	low	APC_co_stimulation	0.550319235
0.627529029	low	APC_co_stimulation	0.603667208
0.624544799	low	APC_co_stimulation	0.471933264
0.623341289	low	APC_co_stimulation	0.35790619
0.621103432	low	APC_co_stimulation	0.614684809
0.6203674	low	APC_co_stimulation	0.464214202
0.618961244	low	APC_co_stimulation	0.541510634
0.612565833	low	APC_co_stimulation	0.281031236
0.603736625	low	APC_co_stimulation	0.536316694
0.603547689	low	APC_co_stimulation	0.514679256
0.582654508	low	APC_co_stimulation	0.430207939
0.573276029	low	APC_co_stimulation	0.533500014
0.556979656	low	APC_co_stimulation	0.482180861
0.552404269	low	APC_co_stimulation	0.489360449
0.549369849	low	APC_co_stimulation	0.562952706
0.54623653	low	APC_co_stimulation	0.330205465
0.546157562	low	APC_co_stimulation	0.531705044
0.543643502	low	APC_co_stimulation	0.604676519
0.542758266	low	APC_co_stimulation	0.650120108
0.538575519	low	APC_co_stimulation	0.581923127
0.536450453	low	APC_co_stimulation	0.591574779
0.533348208	low	APC_co_stimulation	0.495662722
0.532003126	low	APC_co_stimulation	0.639098563
0.52865565	low	APC_co_stimulation	0.539515444
0.525816264	low	APC_co_stimulation	0.569120771
0.514644921	low	APC_co_stimulation	0.533879662
0.512768232	low	APC_co_stimulation	0.628806855
0.508368163	low	APC_co_stimulation	0.569279078
0.495242396	low	APC_co_stimulation	0.568905486
0.470698263	low	APC_co_stimulation	0.441431938
0.444477471	low	APC_co_stimulation	0.611263625
0.440814233	low	APC_co_stimulation	0.613455723
0.419075509	low	APC_co_stimulation	0.580831114
0.411168378	low	APC_co_stimulation	0.259408503
0.409746941	low	APC_co_stimulation	0.536061077
0.409354238	low	APC_co_stimulation	0.561646175
0.403244697	low	APC_co_stimulation	0.535235631
0.394960895	low	APC_co_stimulation	0.527305027
0.387366028	low	APC_co_stimulation	0.495293071
0.383406165	low	APC_co_stimulation	0.558265209
0.378694171	low	APC_co_stimulation	0.534278189
0.355680343	low	APC_co_stimulation	0.622784313
0.347344188	low	APC_co_stimulation	0.606249153
