riskScore	risk	geneName	geneExp
10	high	APC_co_stimulation	0.312320991
10	high	APC_co_stimulation	0.271095153
10	high	APC_co_stimulation	0.543505214
10	high	APC_co_stimulation	0.354227136
10	high	APC_co_stimulation	0.299470266
10	high	APC_co_stimulation	0.256487224
10	high	APC_co_stimulation	0.338266522
10	high	APC_co_stimulation	0.542153695
10	high	APC_co_stimulation	0.281931134
10	high	APC_co_stimulation	0.404203555
10	high	APC_co_stimulation	0.252931118
10	high	APC_co_stimulation	0.390737665
10	high	APC_co_stimulation	0.429819849
10	high	APC_co_stimulation	0.505715509
10	high	APC_co_stimulation	0.26468525
9.665657846	high	APC_co_stimulation	0.367006353
9.454991761	high	APC_co_stimulation	0.538963145
9.371318238	high	APC_co_stimulation	0.507964296
9.226653882	high	APC_co_stimulation	0.511310285
9.220682378	high	APC_co_stimulation	0.400687675
9.008897223	high	APC_co_stimulation	0.63534532
9.005037394	high	APC_co_stimulation	0.63670737
8.724861468	high	APC_co_stimulation	0.29868238
8.37469742	high	APC_co_stimulation	0.474690944
8.140517378	high	APC_co_stimulation	0.280002484
7.301493497	high	APC_co_stimulation	0.443296034
7.246327603	high	APC_co_stimulation	0.491792892
7.16743086	high	APC_co_stimulation	0.428378809
6.95387955	high	APC_co_stimulation	0.504222267
6.810151901	high	APC_co_stimulation	0.354430829
6.793284797	high	APC_co_stimulation	0.281843962
6.751424928	high	APC_co_stimulation	0.461175037
6.749006313	high	APC_co_stimulation	0.486763757
6.577862141	high	APC_co_stimulation	0.449801939
6.526819499	high	APC_co_stimulation	0.292565296
6.417569377	high	APC_co_stimulation	0.232059743
6.328853941	high	APC_co_stimulation	0.397782413
6.163230166	high	APC_co_stimulation	0.433065744
6.161109788	high	APC_co_stimulation	0.303594609
6.125128262	high	APC_co_stimulation	0.354656017
6.118388145	high	APC_co_stimulation	0.33538952
6.10143454	high	APC_co_stimulation	0.378562741
6.025133568	high	APC_co_stimulation	0.277270894
5.906868651	high	APC_co_stimulation	0.63837533
5.90212759	high	APC_co_stimulation	0.482246107
5.733459573	high	APC_co_stimulation	0.49540443
5.459760685	high	APC_co_stimulation	0.528154713
5.450784082	high	APC_co_stimulation	0.468989168
5.389597803	high	APC_co_stimulation	0.391745992
5.305583541	high	APC_co_stimulation	0.603000659
5.260275946	high	APC_co_stimulation	0.525945751
5.244309312	high	APC_co_stimulation	0.532741426
5.232006788	high	APC_co_stimulation	0.505620643
4.681963738	high	APC_co_stimulation	0.6312567
4.677648543	high	APC_co_stimulation	0.497668112
4.653543531	high	APC_co_stimulation	0.53382814
4.506895768	high	APC_co_stimulation	0.489434396
4.408587885	high	APC_co_stimulation	0.414015418
4.313097679	high	APC_co_stimulation	0.498342342
4.234479872	high	APC_co_stimulation	0.327291781
4.059388421	high	APC_co_stimulation	0.335707448
4.015693291	high	APC_co_stimulation	0.651116831
3.981576888	high	APC_co_stimulation	0.358524273
3.970219561	high	APC_co_stimulation	0.251280011
3.900441177	high	APC_co_stimulation	0.372600362
3.881037424	high	APC_co_stimulation	0.587945566
3.876650514	high	APC_co_stimulation	0.314588548
3.865899179	high	APC_co_stimulation	0.601416769
3.769391357	high	APC_co_stimulation	0.309169244
3.684349929	high	APC_co_stimulation	0.460275548
3.502216704	high	APC_co_stimulation	0.233031383
3.410701119	high	APC_co_stimulation	0.542727851
3.395023987	high	APC_co_stimulation	0.39601486
3.288102074	high	APC_co_stimulation	0.635930043
3.235340392	high	APC_co_stimulation	0.590109582
3.227506084	high	APC_co_stimulation	0.494201163
3.127709317	high	APC_co_stimulation	0.451317994
3.008819134	high	APC_co_stimulation	0.338858535
2.984044167	high	APC_co_stimulation	0.538192632
2.966820798	high	APC_co_stimulation	0.485252961
2.940138925	high	APC_co_stimulation	0.455842697
2.936449936	high	APC_co_stimulation	0.559019835
2.896751042	high	APC_co_stimulation	0.29910213
2.868918729	high	APC_co_stimulation	0.494697767
2.865966089	high	APC_co_stimulation	0.322904301
2.850188899	high	APC_co_stimulation	0.409755561
2.806304871	high	APC_co_stimulation	0.289337317
2.804996295	high	APC_co_stimulation	0.521917942
2.756727301	high	APC_co_stimulation	0.484832355
2.736583152	high	APC_co_stimulation	0.658701961
2.71680697	high	APC_co_stimulation	0.447308125
2.656865099	high	APC_co_stimulation	0.504991423
2.625946718	high	APC_co_stimulation	0.526617442
2.580335711	high	APC_co_stimulation	0.474356793
2.517189055	high	APC_co_stimulation	0.414491175
2.494748184	high	APC_co_stimulation	0.671557708
2.439462734	high	APC_co_stimulation	0.667575817
2.438675106	high	APC_co_stimulation	0.651812068
2.414792982	high	APC_co_stimulation	0.478683988
2.385259871	high	APC_co_stimulation	0.499252074
2.382596059	high	APC_co_stimulation	0.611164129
2.312981751	high	APC_co_stimulation	0.398440417
2.273130659	high	APC_co_stimulation	0.37165756
2.252623093	high	APC_co_stimulation	0.370241461
2.160537259	high	APC_co_stimulation	0.38800142
2.146533965	high	APC_co_stimulation	0.467782769
2.007557231	high	APC_co_stimulation	0.531307981
1.915672822	high	APC_co_stimulation	0.545873048
1.851926188	high	APC_co_stimulation	0.480068575
1.828354953	high	APC_co_stimulation	0.366837571
1.807157202	high	APC_co_stimulation	0.298683899
1.755487028	high	APC_co_stimulation	0.667712122
1.753928635	high	APC_co_stimulation	0.63199611
1.710571058	high	APC_co_stimulation	0.642993388
1.69237423	high	APC_co_stimulation	0.398907286
1.686785194	high	APC_co_stimulation	0.487830082
1.673700651	high	APC_co_stimulation	0.536425407
1.65747056	high	APC_co_stimulation	0.343931509
1.652298411	high	APC_co_stimulation	0.255288204
1.635333329	high	APC_co_stimulation	0.462969673
1.604105995	high	APC_co_stimulation	0.327817234
1.598534104	high	APC_co_stimulation	0.603591603
1.585707692	high	APC_co_stimulation	0.262112384
1.582868788	high	APC_co_stimulation	0.418892105
1.525996841	high	APC_co_stimulation	0.679327893
1.435530561	high	APC_co_stimulation	0.513175638
1.421530927	high	APC_co_stimulation	0.239928714
1.415684571	high	APC_co_stimulation	0.616124617
1.413565543	high	APC_co_stimulation	0.531404112
1.375630387	high	APC_co_stimulation	0.638457532
1.347092354	high	APC_co_stimulation	0.6045393
1.325292443	high	APC_co_stimulation	0.402927879
1.306887586	high	APC_co_stimulation	0.391874617
1.288622001	high	APC_co_stimulation	0.494736062
1.279069177	high	APC_co_stimulation	0.580868912
1.185301819	high	APC_co_stimulation	0.46739973
1.181525873	high	APC_co_stimulation	0.609196628
1.15607958	high	APC_co_stimulation	0.280826429
1.107110978	high	APC_co_stimulation	0.522034905
1.100085679	high	APC_co_stimulation	0.47382662
1.079081197	high	APC_co_stimulation	0.379243976
1.067096946	low	APC_co_stimulation	0.383160979
1.065638597	low	APC_co_stimulation	0.303686754
1.056369001	low	APC_co_stimulation	0.376752923
